ID,name,city,country,createdAt,createdBy,modifiedAt,modifiedBy
2085136f-1bdc-4956-8415-97825130a86c,name-2085136,city-2085136,country-2085136,2010-02-09T00:00:00.000Z,createdBy.18owg@example.org,2019-08-31T00:00:00.000Z,modifiedBy.18owg@example.org
15519581-2c68-4719-8737-c8d8278c4051,name-15519581,city-15519581,country-15519581,2016-11-07T00:00:00.000Z,createdBy.98mzh@example.com,2014-08-27T00:00:00.000Z,modifiedBy.98mzh@example.org
15519582-4e7f-4339-8ebd-9083088ac659,name-15519582,city-15519582,country-15519582,2013-06-17T00:00:00.000Z,createdBy.98mzi@example.org,2023-06-07T00:00:00.000Z,modifiedBy.98mzi@example.net
15519583-7cfa-4921-bfa9-8c1b48ff86a8,name-15519583,city-15519583,country-15519583,2010-03-23T00:00:00.000Z,createdBy.98mzj@example.net,2001-03-09T00:00:00.000Z,modifiedBy.98mzj@example.com
15519584-b318-4f55-8cca-c173cfe1395e,name-15519584,city-15519584,country-15519584,2010-03-18T00:00:00.000Z,createdBy.98mzk@example.com,2022-08-12T00:00:00.000Z,modifiedBy.98mzk@example.net
15519585-6239-43c2-af62-234bce8d7e8e,name-15519585,city-15519585,country-15519585,2011-07-18T00:00:00.000Z,createdBy.98mzl@example.org,2001-07-16T00:00:00.000Z,modifiedBy.98mzl@example.org
15519586-223a-47f2-9eeb-47137cf2bba2,name-15519586,city-15519586,country-15519586,2019-05-18T00:00:00.000Z,createdBy.98mzm@example.net,2012-10-06T00:00:00.000Z,modifiedBy.98mzm@example.net
15519587-db28-4fa9-a204-672f0f20c7e3,name-15519587,city-15519587,country-15519587,2018-12-29T00:00:00.000Z,createdBy.98mzn@example.org,2011-11-25T00:00:00.000Z,modifiedBy.98mzn@example.net
15519588-aabb-4c8a-9581-d890035e7d7c,name-15519588,city-15519588,country-15519588,2003-10-12T00:00:00.000Z,createdBy.98mzo@example.net,2003-05-21T00:00:00.000Z,modifiedBy.98mzo@example.org
15519589-5a67-4257-b6f0-bd598a731044,name-15519589,city-15519589,country-15519589,2000-04-23T00:00:00.000Z,createdBy.98mzp@example.com,2013-04-11T00:00:00.000Z,modifiedBy.98mzp@example.com
15519590-2a36-4485-91dd-bca406535917,name-15519590,city-15519590,country-15519590,2005-10-11T00:00:00.000Z,createdBy.98mzq@example.com,2004-12-04T00:00:00.000Z,modifiedBy.98mzq@example.com
15519591-136c-4e13-8234-311fa05345e0,name-15519591,city-15519591,country-15519591,2006-02-23T00:00:00.000Z,createdBy.98mzr@example.org,2018-05-05T00:00:00.000Z,modifiedBy.98mzr@example.com
15519592-5c43-4e73-ad2f-e47d9a3f6992,name-15519592,city-15519592,country-15519592,2021-06-11T00:00:00.000Z,createdBy.98mzs@example.com,2018-11-06T00:00:00.000Z,modifiedBy.98mzs@example.com
15519593-4045-4287-95b8-d8217b3b1bab,name-15519593,city-15519593,country-15519593,2011-03-07T00:00:00.000Z,createdBy.98mzt@example.net,2015-11-28T00:00:00.000Z,modifiedBy.98mzt@example.com
15519594-e7d2-41d6-8236-31d41b12415e,name-15519594,city-15519594,country-15519594,2005-10-13T00:00:00.000Z,createdBy.98mzu@example.net,2012-04-10T00:00:00.000Z,modifiedBy.98mzu@example.net
15519595-72b4-4054-a8a8-e475a5a015cd,name-15519595,city-15519595,country-15519595,2005-10-30T00:00:00.000Z,createdBy.98mzv@example.com,2016-02-11T00:00:00.000Z,modifiedBy.98mzv@example.com
15519596-0362-461f-b173-580b1df3cff1,name-15519596,city-15519596,country-15519596,2011-12-01T00:00:00.000Z,createdBy.98mzw@example.com,2004-07-17T00:00:00.000Z,modifiedBy.98mzw@example.net
15519597-05ea-41b7-be1e-971abd680877,name-15519597,city-15519597,country-15519597,2023-06-02T00:00:00.000Z,createdBy.98mzx@example.org,2019-01-19T00:00:00.000Z,modifiedBy.98mzx@example.com
15519598-412c-48a8-87a7-8f54e75c90a3,name-15519598,city-15519598,country-15519598,2013-10-11T00:00:00.000Z,createdBy.98mzy@example.org,2012-07-06T00:00:00.000Z,modifiedBy.98mzy@example.net
